image_id,snr,clustering,background_color,fiber_color,num_fibers,filename,precision,recall,f1_score,accuracy,num_gt,num_pred
2965,2.613,5.0,167,96,39,snr2.613_cluster5_bg167_sn96_n39_image_2965.png,0.8648648648648649,0.8205128205128205,0.8421052631578947,0.7272727272727273,39,37
2917,8.211,6.0,185,113,32,snr8.211_cluster6_bg185_sn113_n32_image_2917.png,0.8709677419354839,0.84375,0.8571428571428571,0.75,32,31
2442,8.936,2.0,56,35,35,snr8.936_cluster2_bg56_sn35_n35_image_2442.png,0.9705882352941176,0.9428571428571428,0.9565217391304348,0.9166666666666666,35,34
2782,2.825,10.0,152,113,31,snr2.825_cluster10_bg152_sn113_n31_image_2782.png,0.7222222222222222,0.8387096774193549,0.7761194029850746,0.6341463414634146,31,36
2822,8.38,6.0,190,124,43,snr8.380_cluster6_bg190_sn124_n43_image_2822.png,0.775,0.7209302325581395,0.7469879518072289,0.5961538461538461,43,40
2231,10.824,3.0,218,154,50,snr10.824_cluster3_bg218_sn154_n50_image_2231.png,0.96,0.96,0.96,0.9230769230769231,50,50
2659,10.018,5.0,218,123,20,snr10.018_cluster5_bg218_sn123_n20_image_2659.png,0.9444444444444444,0.85,0.8947368421052632,0.8095238095238095,20,18
3185,6.415,1.0,196,132,15,snr6.415_cluster1_bg196_sn132_n15_image_3185.png,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.875,15,15
2358,3.224,5.0,98,54,44,snr3.224_cluster5_bg98_sn54_n44_image_2358.png,0.9069767441860465,0.8863636363636364,0.896551724137931,0.8125,44,43
2377,4.873,10.0,37,24,52,snr4.873_cluster10_bg37_sn24_n52_image_2377.png,0.5692307692307692,0.7115384615384616,0.6324786324786325,0.4625,52,65
3073,10.762,8.0,101,61,46,snr10.762_cluster8_bg101_sn61_n46_image_3073.png,0.8,0.782608695652174,0.7912087912087912,0.6545454545454545,46,45
3165,11.234,5.0,81,66,49,snr11.234_cluster5_bg81_sn66_n49_image_3165.png,0.6981132075471698,0.7551020408163265,0.7254901960784315,0.5692307692307692,49,53
2495,7.948,3.0,75,49,60,snr7.948_cluster3_bg75_sn49_n60_image_2495.png,0.8095238095238095,0.85,0.8292682926829269,0.7083333333333334,60,63
2925,10.973,10.0,46,37,44,snr10.973_cluster10_bg46_sn37_n44_image_2925.png,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.6923076923076923,44,44
2503,3.299,4.0,205,135,52,snr3.299_cluster4_bg205_sn135_n52_image_2503.png,0.8490566037735849,0.8653846153846154,0.8571428571428571,0.75,52,53
2838,11.104,4.0,147,112,40,snr11.104_cluster4_bg147_sn112_n40_image_2838.png,0.8918918918918919,0.825,0.8571428571428571,0.75,40,37
2209,9.843,7.0,51,29,48,snr9.843_cluster7_bg51_sn29_n48_image_2209.png,0.8723404255319149,0.8541666666666666,0.8631578947368421,0.7592592592592593,48,47
2224,8.139,1.0,72,46,40,snr8.139_cluster1_bg72_sn46_n40_image_2224.png,0.925,0.925,0.925,0.8604651162790697,40,40
2592,9.814,2.0,161,133,33,snr9.814_cluster2_bg161_sn133_n33_image_2592.png,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.8333333333333334,33,33
